# This table has Ontology replacement ids for given LanguaL item id.
# First section is Food Additives, followed by Vitamins.
# Uncomment line in langual.py to have database.json updated with these codes.
#ID	Label	URI
B4434	4-HEXYLRESORCINOL	
B2976	ACESULFAME K	CHEBI_83501
B2977	ACETIC ACID	CHEBI_15366
B2978	ACETIC ACID ESTERS OF MONO- AND DIGLYCERIDES OF FATTY ACIDS	
B2979	ACETYLATED DISTARCH ADIPATE	
B2980	ACETYLATED DISTARCH PHOSPHATE	
B4401	ACETYLATED OXIDISED STARCH	
B2981	ACETYLATED STARCH	
B2982	ADIPIC ACID	CHEBI_30832
B2983	AGAR	CHEBI_2509
B2984	ALGINIC ACID	CHEBI_17548
B2985	ALLURA RED AC	
B2986	ALPHA-TOCOPHEROL	CHEBI_22470
B2987	ALUMINIUM	CHEBI_33628
B2988	ALUMINIUM AMMONIUM SULPHATE	
B2989	ALUMINIUM POTASSIUM SULPHATE	CHEBI_86463
B2990	ALUMINIUM SILICATE (KAOLIN)	
B2991	ALUMINIUM SODIUM SULPHATE	
B2992	ALUMINIUM SULPHATE	CHEBI_74772
B2993	AMARANTH	CHEBI_34533
B2994	AMIDATED PECTIN	
B2995	AMMONIA CARAMEL	
B2996	AMMONIUM ALGINATE	
B2997	AMMONIUM CARBONATE	
B4405	AMMONIUM CARBONATES	
B2998	AMMONIUM HYDROGEN CARBONATE	
B2999	AMMONIUM HYDROXIDE	CHEBI_18219
B3000	AMMONIUM PHOSPHATIDES	
B3001	AMMONIUM SULPHATE	CHEBI_62946
B3002	"ANNATTO, BIXIN, NORBIXIN"	CHEBI_3136
B3003	ANTHOCYANINS	CHEBI_38697
B3004	ARGON	CHEBI_36908
B3005	ASCORBIC ACID	CHEBI_22652
B3007	ASCORBYL STEARATE	
B3008	ASPARTAME	CHEBI_2877
B3009	"AZORUBINE, CARMOISINE"	
B4406	BASIC METHACRYLATE COPOLYMER	
B3010	"BEESWAX, WHITE AND YELLOW"	
B3011	"BEETROOT RED, BETANIN"	
B3012	BENTONITE 	CHEBI_133354
B3013	BENZOIC ACID	CHEBI_30746
B4407	BENZYL ALCOHOL	CHEBI_17987
B3014	BETA-APO-8'-CAROTENAL (C 30)	
B3015	BETA-CAROTENE	CHEBI_17579
B4408	BETA-CYCLODEXTRIN	CHEBI_495055
B3016	"BIPHENYL, DIPHENYL"	CHEBI_17097
B3017	BORIC ACID	CHEBI_33118
B3018	"BRILLIANT BLACK BN, BLACK PN"	
B3019	BRILLIANT BLUE FCF	CHEBI_82411
B3020	BROWN FK	
B3021	BROWN HT	
B4409	BUTANE	CHEBI_37808
B3022	BUTYLATED HYDROXYANISOLE (BHA)	CHEBI_76359
B3023	BUTYLATED HYDROXYTOLUENE (BHT)	CHEBI_34247
B3024	CALCIUM HYDROGEN CARBONATE	
